iter	Passed	Remaining
0	0	885
1	1	754
2	2	722
3	2	691
4	3	681
5	4	667
6	4	658
7	5	654
8	5	646
9	6	639
10	7	642
11	7	639
12	8	635
13	9	664
14	10	675
15	11	678
16	11	676
17	12	672
18	12	668
19	13	665
20	14	661
21	14	658
22	15	654
23	16	651
24	16	648
25	17	646
26	17	645
27	18	641
28	19	639
29	19	636
30	20	634
31	20	631
32	21	631
33	22	629
34	22	627
35	24	652
36	25	652
37	25	651
38	26	649
39	26	647
40	27	645
41	28	642
42	28	640
43	29	639
44	30	637
45	30	635
46	31	633
47	31	632
48	32	630
49	33	629
50	33	628
51	34	627
52	35	626
53	35	625
54	36	624
55	36	623
56	37	622
57	38	631
58	39	631
59	40	630
60	40	628
61	41	626
62	42	625
63	42	624
64	43	623
65	43	622
66	44	621
67	45	620
68	45	618
69	46	617
70	47	615
71	47	614
72	48	612
73	48	611
74	49	609
75	50	608
76	50	607
77	51	605
78	51	605
79	52	603
80	53	608
81	54	608
82	54	604
83	55	603
84	55	602
85	56	601
86	57	600
87	57	599
88	58	599
89	59	597
90	59	596
91	60	595
92	60	594
93	61	593
94	62	592
95	62	591
96	63	589
97	63	588
98	64	587
99	65	586
100	65	587
101	66	587
102	67	586
103	68	590
104	69	589
105	69	588
106	70	587
107	71	586
108	71	585
109	72	584
110	72	583
111	73	582
112	74	581
113	74	580
114	75	579
115	75	579
116	76	577
117	77	576
118	77	575
119	78	574
120	78	573
121	79	572
122	80	571
123	80	570
124	81	569
125	82	568
126	83	571
127	83	571
128	84	570
129	85	569
130	85	569
131	86	568
132	87	568
133	87	567
134	88	566
135	89	565
136	89	564
137	90	563
138	90	563
139	91	562
140	92	561
141	92	559
142	93	559
143	93	558
144	94	557
145	95	557
146	95	556
147	96	555
148	97	556
149	98	557
150	98	556
151	99	555
152	100	555
153	100	554
154	101	553
155	102	552
156	102	552
157	103	551
158	104	550
159	104	549
160	105	547
161	105	547
162	106	546
163	107	545
164	107	544
165	108	543
166	108	542
167	109	541
168	110	541
169	110	541
170	111	540
171	112	542
172	113	543
173	114	543
174	115	543
175	115	542
176	116	542
177	117	541
178	117	541
179	118	540
180	119	539
181	119	538
182	120	537
183	121	536
184	121	535
185	122	534
186	122	533
187	123	532
188	124	532
189	124	532
190	125	531
191	126	531
192	127	533
193	128	532
194	128	532
195	129	530
196	130	529
197	130	528
198	131	527
199	131	527
200	132	526
201	132	525
202	133	524
203	134	523
204	134	522
205	135	521
206	135	520
207	136	519
208	136	518
209	137	517
210	138	516
211	138	516
212	140	517
213	140	517
214	142	519
215	143	521
216	144	521
217	145	520
218	145	519
219	146	518
220	146	517
221	147	516
222	148	516
223	148	515
224	149	514
225	149	513
226	150	512
227	151	511
228	151	510
229	152	509
230	152	508
231	153	507
232	154	506
233	154	506
234	155	505
235	155	504
236	157	506
237	157	505
238	158	504
239	159	503
240	159	502
241	160	501
242	160	500
243	161	499
244	161	498
245	162	497
246	163	497
247	163	496
248	164	495
249	164	494
250	165	493
251	165	492
252	166	491
253	167	490
254	167	489
255	168	488
256	168	487
257	169	487
258	169	486
259	170	485
260	171	486
261	172	485
262	173	485
263	173	484
264	174	483
265	174	482
266	175	481
267	176	480
268	176	479
269	177	479
270	177	478
271	178	477
272	178	476
273	179	475
274	180	474
275	180	474
276	181	473
277	181	472
278	182	471
279	183	470
280	183	470
281	184	469
282	184	468
283	185	467
284	186	468
285	187	467
286	188	467
287	188	466
288	189	466
289	190	465
290	190	464
291	191	463
292	191	463
293	192	462
294	193	461
295	193	460
296	194	459
297	194	459
298	195	458
299	196	457
300	196	456
301	197	456
302	197	455
303	198	454
304	199	453
305	199	452
306	200	451
307	201	452
308	202	452
309	203	452
310	203	451
311	204	451
312	205	450
313	205	449
314	206	448
315	207	448
316	207	447
317	208	446
318	208	445
319	209	445
320	210	444
321	210	443
322	211	442
323	211	441
324	212	441
325	212	440
326	213	439
327	214	438
328	214	437
329	215	437
330	216	437
331	217	436
332	217	435
333	218	435
334	218	434
335	219	433
336	219	432
337	220	431
338	221	431
339	221	430
340	222	429
341	222	428
342	223	427
343	224	427
344	224	426
345	225	425
346	225	424
347	226	424
348	226	423
349	227	422
350	228	421
351	228	420
352	229	420
353	229	419
354	230	419
355	231	418
356	231	417
357	232	417
358	233	416
359	233	415
360	234	414
361	234	414
362	235	413
363	236	412
364	236	411
365	237	410
366	237	410
367	238	409
368	238	408
369	239	407
370	240	407
371	240	406
372	241	405
373	241	404
374	242	404
375	243	403
376	243	402
377	244	401
378	245	402
379	246	401
380	246	400
381	247	399
382	247	399
383	248	398
384	248	397
385	249	396
386	250	396
387	250	395
388	251	394
389	251	393
390	252	393
391	253	392
392	253	391
393	254	390
394	254	390
395	255	389
396	255	388
397	256	387
398	256	387
399	257	386
400	258	385
401	258	384
402	259	384
403	260	384
404	261	383
405	261	382
406	262	382
407	262	381
408	263	380
409	263	379
410	264	379
411	265	378
412	265	377
413	266	376
414	266	376
415	267	375
416	268	374
417	268	374
418	269	373
419	270	372
420	270	372
421	271	371
422	271	370
423	272	370
424	272	369
425	273	368
426	274	368
427	275	368
428	276	367
429	276	366
430	277	365
431	277	365
432	278	364
433	278	363
434	279	363
435	280	362
436	280	361
437	281	360
438	281	360
439	282	359
440	282	358
441	283	357
442	284	357
